StationId,Lat,Lon,SoundingDate,PresHPa,HeightM,TempC,DwptC,RH,Wind_D,Wind_S
72317,32,20,2018060600,106.0,15944,-64.1,-92.1,1.0,263.0,35.4936
72317,32,20,2018060600,105.0,16002,-63.7,-91.7,1.0,263.0,34.4648
72317,32,20,2018060600,100.0,16300,-65.7,-92.7,1.0,265.0,31.3784
72317,32,20,2018060600,97.0,16485,-66.9,-92.9,1.0,267.0,26.234399999999997
72317,32,20,2018060600,92.9,16747,-65.1,-93.1,1.0,270.0,19.032799999999998
72317,32,20,2018060600,92.6,16764,-65.1,-93.0,1.0,270.0,18.5184
72317,32,20,2018060600,89.6,16967,-65.3,-92.3,1.0,262.0,17.4896
72317,32,20,2018060600,79.7,17678,-67.7,-93.1,2.0,235.0,14.403199999999998
72317,32,20,2018060600,77.1,17876,-68.3,-93.3,2.0,238.0,18.003999999999998
72317,32,20,2018060600,75.7,17983,-67.7,-92.7,2.0,240.0,20.0616
72317,32,20,2018060600,72.0,18288,-66.1,-91.1,2.0,245.0,15.431999999999999
72317,32,20,2018060600,70.7,18400,-65.5,-90.5,2.0,245.0,15.431999999999999
72317,32,20,2018060600,70.0,18460,-66.1,-92.1,2.0,245.0,15.431999999999999
72317,32,20,2018060600,67.3,18697,-67.7,-93.7,1.0,245.0,14.917599999999998
72317,32,20,2018060600,61.1,19279,-67.3,-93.3,1.0,245.0,14.403199999999998
72317,32,20,2018060600,58.3,19562,-65.1,-92.1,1.0,245.0,13.8888
72317,32,20,2018060600,56.6,19742,-65.5,-92.5,1.0,245.0,13.3744
72317,32,20,2018060600,56.0,19812,-64.1,-91.9,1.0,245.0,13.3744
72317,32,20,2018060600,55.1,19907,-62.1,-91.1,1.0,248.0,14.403199999999998
72317,32,20,2018060600,53.3,20117,-62.0,-91.7,1.0,255.0,17.4896
72317,32,20,2018060600,52.5,20205,-61.9,-91.9,1.0,252.0,14.403199999999998
72317,32,20,2018060600,51.9,20276,-60.7,-90.7,1.0,249.0,11.831199999999999
72317,32,20,2018060600,50.8,20410,-58.1,-90.6,1.0,244.0,6.6872
72317,32,20,2018060600,50.0,20510,-58.7,-90.5,1.0,240.0,3.0864
72317,32,20,2018060600,48.3,20726,-59.4,-90.3,1.0,250.0,1.0288
72317,32,20,2018060600,46.0,21031,-60.3,-90.1,1.0,250.0,5.144
72317,32,20,2018060600,45.6,21085,-60.5,-90.0,1.0,248.0,5.658399999999999
72317,32,20,2018060600,44.5,21238,-58.5,-89.9,1.0,243.0,6.6872
72317,32,20,2018060600,43.8,21336,-58.6,-89.8,1.0,240.0,7.715999999999999
72317,32,20,2018060600,41.7,21641,-59.1,-89.6,1.0,230.0,9.2592
72317,32,20,2018060600,40.1,21890,-59.5,-89.4,1.0,242.0,10.802399999999999
72317,32,20,2018060600,39.8,21946,-59.2,-89.3,1.0,245.0,11.316799999999999
72317,32,20,2018060600,36.9,22413,-56.9,-89.0,1.0,115.0,3.0864
72317,32,20,2018060600,36.1,22555,-57.3,-88.8,1.0,75.0,0.5144
72317,32,20,2018060600,33.2,23079,-58.7,-88.4,1.0,204.0,5.144
72317,32,20,2018060600,32.8,23165,-58.1,-88.3,1.0,225.0,5.658399999999999
72317,32,20,2018060600,31.2,23470,-56.1,-88.1,1.0,290.0,9.2592
72317,32,20,2018060600,30.9,23532,-55.7,-88.0,1.0,295.0,8.2304
72317,32,20,2018060600,30.0,23720,-56.5,-87.9,1.0,310.0,5.658399999999999
72317,32,20,2018060600,29.8,23774,-56.5,-87.8,1.0,300.0,6.6872
72317,32,20,2018060600,27.0,24384,-56.0,-87.3,1.0,140.0,4.1152
72317,32,20,2018060600,25.5,24755,-55.7,-87.0,1.0,108.0,4.1152
72317,32,20,2018060600,23.1,25393,-50.7,-86.5,1.0,54.0,4.1152
72317,32,20,2018060600,20.0,26330,-52.7,-85.8,1.0,335.0,4.1152
72317,32,20,2018060600,17.7,27127,-54.3,-85.2,1.0,335.0,6.6872
72317,32,20,2018060600,16.8,27432,-55.0,-84.9,1.0,330.0,4.6296
72317,32,20,2018060600,15.7,27883,-55.9,-84.6,2.0,325.0,3.6007999999999996
72317,32,20,2018060600,14.6,28346,-55.5,-84.2,2.0,320.0,2.0576
72317,32,20,2018060600,14.1,28568,-55.3,-84.0,2.0,312.0,3.0864
72317,32,20,2018060600,13.3,28942,-53.3,-83.7,1.0,297.0,4.1152
72317,32,20,2018060600,10.8,30288,-52.1,-82.6,1.0,247.0,9.2592
72317,32,20,2018060600,10.5,30480,-50.8,-82.5,1.0,240.0,9.7736
72317,32,20,2018060600,10.0,30790,-48.7,-82.2,1.0,230.0,12.3456
72317,32,20,2018060600,9.9,30856,-48.3,-82.2,1.0,234.0,11.831199999999999
72317,32,20,2018060600,9.1,31394,-46.9,-81.8,1.0,270.0,9.7736
72317,32,20,2018060600,9.0,31486,-46.7,-81.7,1.0,,
